기간	행정구역	직업유형	합계	남자	여자
2015	강남구	서비스종사자	25,951	10,618	15,333
2015	강남구	판매종사자	29,450	15,748	13,702
2015	강남구	농림어업 숙련 종사자	349	250	99
2015	강남구	기능원 및 관련기능종사자	8,405	6,218	2,187
2015	강남구	장치기계조작 및 조립종사자	6,988	6,011	977
2015	강남구	단순노무종사자	14,661	7,393	7,268
2015	강남구	기타	164	138	26
2015	송파구	소계	307,353	176,688	130,665
2015	송파구	관리자	12,231	9,901	2,330
2015	송파구	전문가 및 관련종사자	99,409	53,965	45,444
2015	송파구	사무종사자	65,162	33,672	31,490
2015	송파구	서비스종사자	29,277	12,049	17,228
2015	송파구	판매종사자	43,410	25,214	18,196
2015	송파구	농림어업 숙련 종사자	532	375	157
2015	송파구	기능원 및 관련기능종사자	17,016	13,474	3,542
2015	송파구	장치기계조작 및 조립종사자	13,978	12,229	1,749
2015	송파구	단순노무종사자	25,101	14,614	10,487
2015	송파구	기타	1,237	1,195	42
2015	강동구	소계	218,203	125,357	92,846
2015	강동구	관리자	5,107	4,408	699
2015	강동구	전문가 및 관련종사자	56,889	29,725	27,164
2015	강동구	사무종사자	42,834	21,883	20,951
2015	강동구	서비스종사자	24,285	10,021	14,264
2015	강동구	판매종사자	31,714	17,351	14,363
2015	강동구	농림어업 숙련 종사자	508	376	132
2015	강동구	기능원 및 관련기능종사자	19,744	15,718	4,026
2015	강동구	장치기계조작 및 조립종사자	13,911	12,259	1,652
2015	강동구	단순노무종사자	23,105	13,510	9,595
2015	강동구	기타	106	106	-
